current_salary,skills,recommended_role,success_score
509902,"Marketing, Customer Service, CSS, Agile, HTML",Frontend Developer,0.78
538130,"Figma, JavaScript",UX/UI Designer,0.92
518472,"React, Excel",Frontend Developer,0.87
361323,"AWS, Project Management, Python, Machine Learning, CSS",Frontend Developer,0.99
595824,"React, Python, JavaScript, Statistics, Sales",Frontend Developer,0.92
653441,"Docker, Sales, AWS",DevOps Engineer,0.86
656946,"Agile, JavaScript, Sales, Figma, Tableau",Data Analyst,0.85
544210,"Marketing, Node.js, Statistics",Backend Developer,0.81
321697,"SQL, HTML, CSS, Machine Learning, Customer Service",Frontend Developer,0.78
337538,"AWS, JavaScript, Agile, Figma, Project Management",Product Manager,0.82
344779,"SQL, Machine Learning, Project Management",Data Analyst,0.87
875090,"Agile, CSS, React, Node.js, JavaScript",Frontend Developer,0.76
304411,"Project Management, React, Sales",Frontend Developer,0.92
315728,"Excel, Figma, CSS, Machine Learning",Frontend Developer,0.8
334612,"SQL, Marketing, Project Management, Python",Data Analyst,0.83
244270,"Machine Learning, Customer Service, AWS",DevOps Engineer,0.91
695299,"Project Management, Sales, Customer Service, Excel",Data Analyst,0.77
753472,"Sales, Excel",Data Analyst,0.95
624167,"AWS, Agile",Product Manager,0.83
200000,"React, Node.js, Marketing, Python",Frontend Developer,0.9
317765,"Excel, SQL, Customer Service, Project Management",Data Analyst,0.75
391907,"React, Sales, CSS, AWS",Frontend Developer,0.82
814553,"Python, React",Frontend Developer,0.73
578277,"Agile, Docker, React",Frontend Developer,0.9
341349,"SQL, Tableau, Docker",Data Analyst,0.86
333377,"AWS, Python, Project Management",Product Manager,0.86
649003,"React, SQL, Docker",Frontend Developer,0.72
608248,"CSS, Python, Figma, React",Frontend Developer,0.84
568710,"Machine Learning, Node.js, React",Frontend Developer,0.76
432935,"Machine Learning, AWS, Excel, React",Frontend Developer,0.94
489599,"Figma, CSS",Frontend Developer,0.88
645478,"Figma, Excel, Python, AWS, Customer Service",Data Analyst,0.74
593813,"Docker, Statistics, Customer Service, CSS, Agile",Frontend Developer,0.96
200000,"Agile, CSS, Excel, Project Management",Frontend Developer,0.72
660995,"SQL, React, Python, AWS, HTML",Frontend Developer,0.77
200000,"Sales, Machine Learning, Excel, CSS, HTML",Frontend Developer,0.9
200000,"Node.js, Tableau, Machine Learning, Figma, Project Management",Data Analyst,0.96
537993,"Project Management, SQL",Data Analyst,0.71
604569,"Sales, Excel",Data Analyst,0.73
200000,"Tableau, SQL, AWS, Excel, Customer Service",Data Analyst,0.99
565891,"AWS, Figma, Statistics, Sales, Customer Service",UX/UI Designer,0.85
480335,"JavaScript, Statistics, Customer Service, Project Management, HTML",Frontend Developer,0.94
499544,"Tableau, Node.js, Customer Service, AWS, HTML",Frontend Developer,0.8
746741,"Machine Learning, Node.js, Sales, HTML, Docker",Frontend Developer,0.75
515600,"AWS, Customer Service, Python, Excel",Data Analyst,0.87
394414,"Customer Service, Tableau, JavaScript",Data Analyst,0.7
321937,"Marketing, Tableau",Data Analyst,0.99
368193,"Python, CSS, Excel, React, Node.js",Frontend Developer,0.89
786384,"SQL, JavaScript, Excel, Sales, Machine Learning",Data Analyst,0.77
309059,"Excel, AWS, Project Management, Machine Learning",Data Analyst,0.75
527575,"Tableau, Machine Learning, Statistics, Marketing",Data Analyst,0.88
915619,"Machine Learning, React, Docker",Frontend Developer,0.86
481794,"AWS, Docker, Project Management, SQL, Tableau",Data Analyst,0.84
524046,"AWS, Figma",UX/UI Designer,0.8
372256,"React, Project Management, Node.js, Agile, Tableau",Frontend Developer,0.72
309678,"Docker, Tableau",Data Analyst,0.84
447785,"HTML, Project Management, Node.js, Agile, React",Frontend Developer,0.79
457023,"Docker, Sales, Excel, Figma",Data Analyst,0.93
239302,"Python, Statistics, Agile",Product Manager,0.83
584791,"React, Marketing",Frontend Developer,0.99
376153,"Excel, SQL",Data Analyst,0.96
545974,"Sales, Machine Learning, HTML",Frontend Developer,0.8
473962,"Project Management, JavaScript",Product Manager,0.76
519661,"Machine Learning, Project Management, Statistics, Python",Product Manager,0.74
436137,"React, CSS, SQL, Machine Learning, Agile",Frontend Developer,0.75
654375,"CSS, React, HTML, Statistics",Frontend Developer,0.9
354574,"Statistics, Tableau",Data Analyst,0.71
443573,"Project Management, Figma, Python",Product Manager,0.84
386814,"Excel, Tableau, Sales",Data Analyst,0.74
534454,"JavaScript, Sales, Figma, Agile, Marketing",Product Manager,0.88
360553,"Node.js, Excel, Tableau",Data Analyst,0.9
679841,"Node.js, Agile, Excel, SQL",Data Analyst,0.98
818886,"Docker, CSS, Agile, Figma",Frontend Developer,0.91
478648,"Figma, Project Management, Python, Sales, React",Frontend Developer,0.74
366904,"Statistics, Excel, Sales, React, Marketing",Frontend Developer,0.78
484718,"Machine Learning, Figma",UX/UI Designer,0.85
287022,"AWS, Node.js, Tableau, Agile",Data Analyst,0.8
465997,"Node.js, Statistics, Figma, Sales, Tableau",Data Analyst,0.73
463044,"Node.js, Agile, Project Management, Docker, React",Frontend Developer,0.9
411515,"Tableau, Excel, Machine Learning, Sales",Data Analyst,0.79
541926,"React, Node.js, Project Management, Python, Docker",Frontend Developer,0.78
575100,"HTML, Project Management, AWS, Agile",Frontend Developer,0.99
520767,"Statistics, Customer Service, Excel, HTML",Frontend Developer,0.88
268397,"JavaScript, Tableau, CSS, Docker",Frontend Developer,0.8
360675,"Sales, Customer Service, Machine Learning, Project Management, JavaScript",Product Manager,0.9
315167,"CSS, HTML, Customer Service, AWS",Frontend Developer,0.87
277007,"Agile, HTML, SQL, Figma, Excel",Frontend Developer,0.81
355590,"JavaScript, AWS, Statistics",DevOps Engineer,0.7
575633,"JavaScript, Python, Tableau, CSS, Figma",Frontend Developer,0.84
250190,"Agile, Figma",Product Manager,0.87
200000,"Docker, HTML, Machine Learning, Excel",Frontend Developer,0.99
1011020,"Agile, Node.js, HTML, Sales, CSS",Frontend Developer,0.71
531163,"Agile, AWS, Docker",Product Manager,0.77
843726,"Machine Learning, Statistics, AWS",DevOps Engineer,0.9
478532,"HTML, Figma",Frontend Developer,0.81
200000,"Statistics, Docker, JavaScript",DevOps Engineer,0.82
544885,"Project Management, Marketing, SQL",Data Analyst,0.92
200000,"Node.js, Figma, Python, HTML, SQL",Frontend Developer,0.81
592370,"Python, Agile, Customer Service, Docker, SQL",Data Analyst,0.83
618917,"Project Management, Statistics, Node.js, Python",Product Manager,0.74
374759,"Machine Learning, Agile, Node.js, Excel",Data Analyst,0.76
264939,"SQL, Machine Learning, Node.js",Data Analyst,0.93
678094,"Docker, HTML, Customer Service, JavaScript, SQL",Frontend Developer,0.94
575102,"Python, Project Management, Agile",Product Manager,0.87
375864,"AWS, Python, Tableau, Sales, HTML",Frontend Developer,0.89
510280,"Docker, AWS, Excel, Statistics",Data Analyst,0.89
419790,"Customer Service, Tableau, CSS, Agile",Frontend Developer,1.0
441738,"Node.js, Marketing",Backend Developer,0.8
360338,"Excel, Python, AWS, CSS, Project Management",Frontend Developer,0.79
577320,"Tableau, SQL, Marketing, Statistics",Data Analyst,0.93
558702,"Figma, Customer Service, Node.js, Statistics",UX/UI Designer,0.78
505051,"Agile, Docker, Machine Learning",Product Manager,0.81
478463,"Statistics, Agile",Product Manager,0.71
307382,"Project Management, CSS, Agile",Frontend Developer,0.76
915776,"Figma, CSS, SQL, Statistics, Python",Frontend Developer,0.76
200000,"SQL, Docker",Data Analyst,0.97
332486,"SQL, Project Management, JavaScript, Docker",Data Analyst,0.82
708515,"Node.js, Tableau",Data Analyst,0.77
622656,"Tableau, React, JavaScript, Agile",Frontend Developer,0.89
407627,"Agile, Node.js, AWS, Project Management",Product Manager,0.97
717178,"Sales, React, Python, Customer Service, Machine Learning",Frontend Developer,0.97
752950,"Project Management, Python",Product Manager,0.82
476875,"Figma, CSS",Frontend Developer,0.83
449397,"React, SQL, HTML, Marketing",Frontend Developer,0.76
207625,"Tableau, Project Management",Data Analyst,0.83
672824,"CSS, Python, Figma, JavaScript",Frontend Developer,0.77
562186,"Python, AWS, Tableau, Project Management",Data Analyst,0.81
757618,"Machine Learning, Agile, CSS, Python, Figma",Frontend Developer,0.86
472091,"Python, AWS",DevOps Engineer,0.81
298763,"Excel, AWS, Statistics, Docker, CSS",Frontend Developer,0.75
712501,"Customer Service, Docker",DevOps Engineer,0.71
200000,"Figma, Python",UX/UI Designer,0.74
200000,"CSS, Excel, Project Management, Docker",Frontend Developer,0.79
440092,"Tableau, SQL, Python, Customer Service, Statistics",Data Scientist,0.84
698398,"Python, HTML, Sales",Frontend Developer,0.73
540043,"SQL, Project Management",Data Analyst,0.81
365070,"Node.js, Project Management",Product Manager,0.92
510302,"Customer Service, Tableau",Data Analyst,0.86
816405,"HTML, Node.js",Frontend Developer,0.88
660008,"JavaScript, Customer Service, Marketing",Frontend Developer,0.81
346512,"Docker, Sales, Tableau, HTML",Frontend Developer,0.89
200000,"AWS, Sales",DevOps Engineer,0.74
685876,"HTML, SQL, Python",Frontend Developer,0.77
200000,"Agile, Docker, Figma, Project Management",Product Manager,0.96
719173,"Excel, JavaScript, Figma, Python",Data Analyst,0.89
445601,"Statistics, Docker, AWS, HTML",Frontend Developer,0.73
489064,"Agile, Statistics",Product Manager,0.72
575020,"Docker, Machine Learning",DevOps Engineer,1.0
307794,"Project Management, Python, JavaScript, AWS, Machine Learning",Product Manager,0.88
396797,"Tableau, Figma",Data Analyst,0.87
327963,"Excel, AWS",Data Analyst,0.76
378829,"Python, Docker, Agile, SQL",Data Analyst,0.81
267914,"Sales, Tableau, Customer Service",Data Analyst,0.85
200000,"Customer Service, HTML, Project Management, Statistics",Frontend Developer,0.74
440479,"Node.js, Statistics, Excel",Data Analyst,0.73
735513,"SQL, Tableau",Data Analyst,0.71
557988,"AWS, Machine Learning, Statistics, Node.js, Figma",UX/UI Designer,0.95
488300,"Tableau, Sales",Data Analyst,0.87
426542,"Sales, Docker, Node.js, Excel, Marketing",Data Analyst,0.91
729289,"Tableau, Marketing",Data Analyst,0.99
438868,"Python, Machine Learning, HTML, Marketing, Statistics",Frontend Developer,0.84
299280,"Sales, HTML, React, Figma",Frontend Developer,0.97
529512,"JavaScript, AWS, Statistics",DevOps Engineer,0.82
679773,"React, Docker, Statistics, Python",Frontend Developer,0.99
366374,"Docker, Agile, Figma",Product Manager,0.86
402737,"Docker, Marketing, Project Management, Agile, Customer Service",Product Manager,0.86
600066,"CSS, Machine Learning, HTML",Frontend Developer,0.82
352053,"Project Management, Agile, Statistics, JavaScript, Tableau",Data Analyst,0.81
750843,"Docker, Python, Sales",DevOps Engineer,1.0
383563,"Tableau, CSS, SQL, Agile",Frontend Developer,0.89
729610,"AWS, Tableau, Project Management",Data Analyst,0.9
274402,"Statistics, Excel, Marketing, Customer Service, Tableau",Data Analyst,0.89
594773,"Sales, Project Management",Product Manager,0.99
731694,"Sales, AWS, React, JavaScript, Statistics",Frontend Developer,0.99
200000,"AWS, SQL, Project Management, Machine Learning",Data Analyst,0.89
288189,"Statistics, SQL, Marketing, Customer Service",Data Analyst,0.95
480541,"Excel, SQL, AWS, Tableau, Figma",Data Analyst,0.79
586991,"Tableau, Customer Service, Project Management",Data Analyst,1.0
662900,"Python, JavaScript",UX/UI Designer,0.75
404517,"CSS, Node.js",Frontend Developer,0.74
733047,"SQL, Node.js, React, Statistics",Frontend Developer,0.91
530795,"Agile, Figma, Docker, Project Management, JavaScript",Product Manager,0.76
803184,"Excel, HTML",Frontend Developer,0.84
592580,"SQL, Excel, AWS, Statistics, Sales",Data Analyst,0.99
442640,"Docker, Machine Learning, Excel",Data Analyst,0.9
489719,"Customer Service, React, Figma, Excel",Frontend Developer,0.77
623834,"CSS, Marketing, HTML, React, Customer Service",Frontend Developer,0.84
422196,"React, HTML, Customer Service, SQL, Figma",Frontend Developer,0.81
921278,"CSS, AWS, Marketing, Python",Frontend Developer,0.91
624798,"Docker, AWS, SQL, Agile",Data Analyst,0.7
372284,"Sales, Marketing, Tableau",Data Analyst,0.87
200000,"Customer Service, Machine Learning, Sales, Marketing",Frontend Developer,0.71
282772,"Node.js, Sales, Python, Project Management, SQL",Data Analyst,0.97
668593,"Node.js, React, Statistics, AWS, HTML",Frontend Developer,0.78
431532,"Python, Agile, HTML, React",Frontend Developer,0.86
219723,"Project Management, HTML, React, Python, Agile",Frontend Developer,0.71
528557,"Sales, Agile",Product Manager,0.8
270695,"Node.js, HTML, CSS, Figma",Frontend Developer,0.82
544363,"CSS, Project Management",Frontend Developer,0.85
618088,"Marketing, Agile, Customer Service, Docker, React",Frontend Developer,0.82
531241,"Agile, Excel",Data Analyst,0.76
723326,"CSS, Marketing, React",Frontend Developer,0.8
200000,"Python, Marketing, Figma, CSS",Frontend Developer,0.9
230067,"JavaScript, Machine Learning, Excel, Customer Service",Data Analyst,0.79
289134,"Excel, Marketing",Data Analyst,0.77
507692,"Marketing, Excel, AWS, HTML, CSS",Frontend Developer,0.84
662403,"Node.js, JavaScript, CSS, Agile",Frontend Developer,0.99
354712,"Project Management, Docker, CSS",Frontend Developer,0.73
531852,"Excel, Customer Service, JavaScript, Sales, Agile",Data Analyst,0.76
642823,"AWS, HTML",Frontend Developer,0.85
301577,"CSS, Marketing",Frontend Developer,0.99
649206,"Node.js, Sales, Python, Docker, Statistics",DevOps Engineer,0.76
620617,"Tableau, Customer Service",Data Analyst,0.92
366872,"Machine Learning, React, Project Management, Agile, JavaScript",Frontend Developer,0.75
